Model,TaskID,SelectedCloud,SLA,Reason
PPO,164,2.0,NO,Execution time exceeded SLA deadline
PPO,165,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,166,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,167,2.0,YES,High cost led to choosing cheaper cloud
PPO,168,2.0,NO,High cost led to choosing cheaper cloud
PPO,169,1.0,YES,Balanced decision between SLA and cost
PPO,170,1.0,NO,Execution time exceeded SLA deadline
PPO,171,2.0,NO,High cost led to choosing cheaper cloud
PPO,172,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,173,2.0,NO,High cost led to choosing cheaper cloud
PPO,174,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,175,1.0,NO,Execution time exceeded SLA deadline
PPO,176,1.0,YES,Balanced decision between SLA and cost
PPO,177,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,178,1.0,YES,Balanced decision between SLA and cost
PPO,179,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,180,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,181,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,182,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,183,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,184,2.0,NO,High cost led to choosing cheaper cloud
PPO,185,1.0,NO,Execution time exceeded SLA deadline
PPO,186,2.0,YES,High cost led to choosing cheaper cloud
PPO,187,1.0,NO,Execution time exceeded SLA deadline
PPO,188,2.0,NO,Execution time exceeded SLA deadline
PPO,189,2.0,NO,High cost led to choosing cheaper cloud
PPO,190,2.0,NO,High cost led to choosing cheaper cloud
PPO,191,2.0,NO,High cost led to choosing cheaper cloud
PPO,192,2.0,NO,High cost led to choosing cheaper cloud
PPO,193,2.0,NO,High cost led to choosing cheaper cloud
PPO,194,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,195,2.0,NO,Execution time exceeded SLA deadline
PPO,196,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,197,2.0,NO,High cost led to choosing cheaper cloud
PPO,198,1.0,NO,Execution time exceeded SLA deadline
PPO,199,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,200,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,201,1.0,NO,Execution time exceeded SLA deadline
PPO,202,1.0,NO,Execution time exceeded SLA deadline
PPO,203,2.0,YES,High cost led to choosing cheaper cloud
PPO,204,1.0,NO,Execution time exceeded SLA deadline
PPO,205,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,206,1.0,YES,Balanced decision between SLA and cost
PPO,207,2.0,YES,High cost led to choosing cheaper cloud
PPO,208,2.0,YES,High cost led to choosing cheaper cloud
PPO,209,1.0,YES,Balanced decision between SLA and cost
PPO,210,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,211,2.0,NO,High cost led to choosing cheaper cloud
PPO,212,2.0,NO,High cost led to choosing cheaper cloud
PPO,213,1.0,YES,Balanced decision between SLA and cost
PPO,214,1.0,NO,Execution time exceeded SLA deadline
PPO,215,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,216,1.0,NO,Execution time exceeded SLA deadline
PPO,217,2.0,NO,Execution time exceeded SLA deadline
PPO,218,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,219,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,220,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,221,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,222,1.0,NO,Execution time exceeded SLA deadline
PPO,223,2.0,NO,High cost led to choosing cheaper cloud
PPO,224,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,225,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,226,1.0,YES,Balanced decision between SLA and cost
PPO,227,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,228,1.0,NO,Execution time exceeded SLA deadline
PPO,229,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,230,1.0,YES,Balanced decision between SLA and cost
PPO,231,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,232,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,233,1.0,YES,Balanced decision between SLA and cost
PPO,234,1.0,NO,Execution time exceeded SLA deadline
PPO,235,2.0,YES,High cost led to choosing cheaper cloud
PPO,236,2.0,YES,High cost led to choosing cheaper cloud
PPO,237,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,238,1.0,NO,Execution time exceeded SLA deadline
PPO,239,2.0,YES,High cost led to choosing cheaper cloud
PPO,240,1.0,NO,Execution time exceeded SLA deadline
PPO,241,2.0,YES,High cost led to choosing cheaper cloud
PPO,242,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,243,2.0,YES,High cost led to choosing cheaper cloud
PPO,244,2.0,NO,High cost led to choosing cheaper cloud
PPO,245,1.0,NO,Execution time exceeded SLA deadline
PPO,246,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,247,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,248,1.0,YES,Balanced decision between SLA and cost
PPO,249,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,250,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,251,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,252,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,253,1.0,NO,Execution time exceeded SLA deadline
PPO,254,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,255,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,256,1.0,NO,Execution time exceeded SLA deadline
PPO,257,1.0,NO,Execution time exceeded SLA deadline
PPO,258,2.0,NO,High cost led to choosing cheaper cloud
PPO,259,1.0,NO,Execution time exceeded SLA deadline
PPO,260,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,261,1.0,YES,Balanced decision between SLA and cost
PPO,262,2.0,YES,High cost led to choosing cheaper cloud
PPO,263,2.0,NO,High cost led to choosing cheaper cloud
PPO,264,2.0,NO,Execution time exceeded SLA deadline
PPO,265,2.0,YES,High cost led to choosing cheaper cloud
PPO,266,1.0,NO,Execution time exceeded SLA deadline
PPO,267,1.0,NO,Execution time exceeded SLA deadline
PPO,268,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,269,1.0,YES,Balanced decision between SLA and cost
PPO,270,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,271,2.0,NO,High cost led to choosing cheaper cloud
PPO,272,2.0,YES,High cost led to choosing cheaper cloud
PPO,273,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,274,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,275,1.0,YES,Balanced decision between SLA and cost
PPO,276,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,277,1.0,YES,Balanced decision between SLA and cost
PPO,278,2.0,NO,High cost led to choosing cheaper cloud
PPO,279,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,280,1.0,NO,Execution time exceeded SLA deadline
PPO,281,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,282,1.0,NO,Execution time exceeded SLA deadline
PPO,283,2.0,YES,High cost led to choosing cheaper cloud
PPO,284,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,285,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,286,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,287,2.0,NO,High cost led to choosing cheaper cloud
PPO,288,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,289,1.0,NO,Execution time exceeded SLA deadline
PPO,290,1.0,NO,Execution time exceeded SLA deadline
PPO,291,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,292,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,293,1.0,NO,Execution time exceeded SLA deadline
PPO,294,1.0,YES,Balanced decision between SLA and cost
PPO,295,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,296,1.0,NO,Execution time exceeded SLA deadline
PPO,297,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,298,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,299,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,300,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,301,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,302,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,303,1.0,NO,Execution time exceeded SLA deadline
PPO,304,2.0,NO,Execution time exceeded SLA deadline
PPO,305,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,306,2.0,NO,High cost led to choosing cheaper cloud
PPO,307,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,308,1.0,NO,Execution time exceeded SLA deadline
PPO,309,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,310,1.0,NO,Execution time exceeded SLA deadline
PPO,311,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,312,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,313,1.0,YES,Balanced decision between SLA and cost
PPO,314,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,315,1.0,NO,Execution time exceeded SLA deadline
PPO,316,1.0,NO,Execution time exceeded SLA deadline
PPO,317,2.0,NO,High cost led to choosing cheaper cloud
PPO,318,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,319,2.0,YES,High cost led to choosing cheaper cloud
PPO,320,1.0,NO,Execution time exceeded SLA deadline
PPO,321,2.0,NO,High cost led to choosing cheaper cloud
PPO,322,1.0,NO,Execution time exceeded SLA deadline
PPO,323,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,324,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,325,1.0,NO,Execution time exceeded SLA deadline
PPO,326,1.0,NO,Execution time exceeded SLA deadline
PPO,327,2.0,NO,High cost led to choosing cheaper cloud
PPO,328,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,329,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,330,2.0,NO,High cost led to choosing cheaper cloud
PPO,331,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,332,2.0,NO,Execution time exceeded SLA deadline
PPO,333,1.0,NO,Execution time exceeded SLA deadline
PPO,334,1.0,YES,Balanced decision between SLA and cost
PPO,335,2.0,NO,High cost led to choosing cheaper cloud
PPO,336,1.0,NO,Execution time exceeded SLA deadline
PPO,337,1.0,NO,Execution time exceeded SLA deadline
PPO,338,2.0,YES,High cost led to choosing cheaper cloud
PPO,339,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,340,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,341,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,342,2.0,NO,High cost led to choosing cheaper cloud
PPO,343,2.0,YES,High cost led to choosing cheaper cloud
PPO,344,1.0,YES,Balanced decision between SLA and cost
PPO,345,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,346,2.0,NO,Execution time exceeded SLA deadline
PPO,347,2.0,NO,Execution time exceeded SLA deadline
PPO,348,1.0,YES,Balanced decision between SLA and cost
PPO,349,1.0,NO,Execution time exceeded SLA deadline
PPO,350,1.0,NO,Execution time exceeded SLA deadline
PPO,351,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,352,2.0,NO,High cost led to choosing cheaper cloud
PPO,353,1.0,NO,Execution time exceeded SLA deadline
PPO,354,2.0,NO,High cost led to choosing cheaper cloud
PPO,355,2.0,NO,High cost led to choosing cheaper cloud
PPO,356,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,357,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,358,2.0,YES,High cost led to choosing cheaper cloud
PPO,359,2.0,YES,High cost led to choosing cheaper cloud
PPO,360,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,361,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,362,1.0,NO,Execution time exceeded SLA deadline
PPO,363,1.0,NO,Execution time exceeded SLA deadline
PPO,364,2.0,NO,High cost led to choosing cheaper cloud
PPO,365,2.0,YES,High cost led to choosing cheaper cloud
PPO,366,1.0,NO,Execution time exceeded SLA deadline
PPO,367,1.0,YES,Balanced decision between SLA and cost
PPO,368,1.0,NO,Execution time exceeded SLA deadline
PPO,369,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,370,1.0,YES,Balanced decision between SLA and cost
PPO,371,1.0,YES,Balanced decision between SLA and cost
PPO,372,1.0,NO,Execution time exceeded SLA deadline
PPO,373,2.0,NO,High cost led to choosing cheaper cloud
PPO,374,1.0,NO,Execution time exceeded SLA deadline
PPO,375,1.0,NO,Execution time exceeded SLA deadline
PPO,376,1.0,YES,Balanced decision between SLA and cost
PPO,377,2.0,NO,High cost led to choosing cheaper cloud
PPO,378,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,379,1.0,NO,Execution time exceeded SLA deadline
PPO,380,2.0,YES,High cost led to choosing cheaper cloud
PPO,381,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,382,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,383,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,384,1.0,NO,Execution time exceeded SLA deadline
PPO,385,2.0,NO,Execution time exceeded SLA deadline
PPO,386,1.0,NO,Execution time exceeded SLA deadline
PPO,387,1.0,NO,Execution time exceeded SLA deadline
PPO,388,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,389,2.0,NO,High cost led to choosing cheaper cloud
PPO,390,1.0,YES,Balanced decision between SLA and cost
PPO,391,1.0,YES,Balanced decision between SLA and cost
PPO,392,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,393,1.0,NO,Execution time exceeded SLA deadline
PPO,394,2.0,NO,High cost led to choosing cheaper cloud
PPO,395,2.0,YES,High cost led to choosing cheaper cloud
PPO,396,2.0,NO,High cost led to choosing cheaper cloud
PPO,397,1.0,NO,Execution time exceeded SLA deadline
PPO,398,1.0,YES,Balanced decision between SLA and cost
PPO,399,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,400,2.0,YES,High cost led to choosing cheaper cloud
PPO,401,2.0,YES,High cost led to choosing cheaper cloud
PPO,402,1.0,YES,Balanced decision between SLA and cost
PPO,403,2.0,NO,Execution time exceeded SLA deadline
PPO,404,1.0,NO,Execution time exceeded SLA deadline
PPO,405,1.0,YES,Balanced decision between SLA and cost
PPO,406,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,407,2.0,NO,High cost led to choosing cheaper cloud
PPO,408,1.0,NO,Execution time exceeded SLA deadline
PPO,409,2.0,YES,High cost led to choosing cheaper cloud
PPO,410,1.0,YES,Balanced decision between SLA and cost
PPO,411,2.0,NO,Execution time exceeded SLA deadline
PPO,412,2.0,NO,High cost led to choosing cheaper cloud
PPO,413,1.0,YES,Balanced decision between SLA and cost
PPO,414,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,415,1.0,NO,Execution time exceeded SLA deadline
PPO,416,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,417,1.0,NO,Execution time exceeded SLA deadline
PPO,418,1.0,NO,Execution time exceeded SLA deadline
PPO,419,2.0,YES,High cost led to choosing cheaper cloud
PPO,420,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,421,1.0,NO,Execution time exceeded SLA deadline
PPO,422,2.0,YES,High cost led to choosing cheaper cloud
PPO,423,1.0,NO,Execution time exceeded SLA deadline
PPO,424,2.0,YES,High cost led to choosing cheaper cloud
PPO,425,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,426,1.0,NO,Execution time exceeded SLA deadline
PPO,427,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,428,1.0,YES,Balanced decision between SLA and cost
PPO,429,2.0,NO,High cost led to choosing cheaper cloud
PPO,430,1.0,NO,Execution time exceeded SLA deadline
PPO,431,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,432,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,433,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,434,2.0,NO,Execution time exceeded SLA deadline
PPO,435,1.0,NO,Execution time exceeded SLA deadline
PPO,436,1.0,NO,Execution time exceeded SLA deadline
PPO,437,2.0,NO,High cost led to choosing cheaper cloud
PPO,438,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,439,1.0,YES,Balanced decision between SLA and cost
PPO,440,2.0,NO,Execution time exceeded SLA deadline
PPO,441,1.0,YES,Balanced decision between SLA and cost
PPO,442,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,443,1.0,NO,Execution time exceeded SLA deadline
PPO,444,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,445,1.0,YES,Balanced decision between SLA and cost
PPO,446,1.0,YES,Balanced decision between SLA and cost
PPO,447,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,448,2.0,NO,High cost led to choosing cheaper cloud
PPO,449,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,450,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,451,2.0,NO,High cost led to choosing cheaper cloud
PPO,452,1.0,YES,Balanced decision between SLA and cost
PPO,453,1.0,NO,Execution time exceeded SLA deadline
PPO,454,2.0,NO,High cost led to choosing cheaper cloud
PPO,455,1.0,NO,Execution time exceeded SLA deadline
PPO,456,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,457,1.0,NO,Execution time exceeded SLA deadline
PPO,458,1.0,NO,Execution time exceeded SLA deadline
PPO,459,2.0,NO,High cost led to choosing cheaper cloud
PPO,460,1.0,NO,Execution time exceeded SLA deadline
PPO,461,2.0,NO,High cost led to choosing cheaper cloud
PPO,462,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,463,2.0,NO,High cost led to choosing cheaper cloud
PPO,464,2.0,NO,Execution time exceeded SLA deadline
PPO,465,2.0,YES,High cost led to choosing cheaper cloud
PPO,466,2.0,NO,High cost led to choosing cheaper cloud
PPO,467,2.0,NO,High cost led to choosing cheaper cloud
PPO,468,1.0,NO,Execution time exceeded SLA deadline
PPO,469,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,470,1.0,NO,Execution time exceeded SLA deadline
PPO,471,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,472,1.0,YES,Balanced decision between SLA and cost
PPO,473,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,474,2.0,NO,High cost led to choosing cheaper cloud
